timestamp,measurement,qrs_detected
2977031608,1.8279570579,0
2977035608,1.8866080284,0
2977039600,1.8670577049,0
2977043600,1.8084066390,0
2977047588,1.7790811061,0
2977051580,1.8230694770,0
2977055576,1.8866080284,0
2977059576,1.8475073814,0
2977063572,1.7986314296,0
2977067580,1.7644183635,0
2977071592,1.8084066390,0
2977075584,1.8670577049,0
2977079580,1.8132943153,0
2977083588,1.7350928783,0
2977087588,1.6813293457,0
2977091596,1.6959922313,0
2977095596,1.7204301357,0
2977099596,1.6617790222,0
2977103596,1.5786901473,0
2977107596,1.5151515007,0
2977111604,1.5151515007,0
2977115612,1.5102639198,0
2977119612,1.4467253684,0
2977123620,1.3440860509,0
2977127604,1.2609970569,0
2977131596,1.2365591526,0
2977135596,1.2463343143,0
2977139600,1.1681329011,0
2977143600,1.0654937028,0
2977147596,0.9726295471,0
2977151596,0.9237536430,0
2977155588,0.8748778343,0
2977159588,0.7771260738,0
2977163588,0.6500488281,0
2977167568,0.5083088874,0
2977171548,0.4301075458,0
2977175532,0.3812316703,0
2977179524,0.3030303001,0
2977183500,0.2101661682,0
2977187500,0.1417399787,0
2977191500,0.1368523955,0
2977195500,0.1612903118,0
2977199500,0.1319648027,0
2977203500,0.1026392936,0
2977207500,0.0928641223,0
2977211492,0.1759530782,0
2977215484,0.2443792819,0
2977219484,0.2932551193,0
2977223484,0.2737047910,0
2977227476,0.2932551193,0
2977231476,0.3470185756,0
2977235468,0.4349951267,0
2977239468,0.4740957736,0
2977243460,0.4545454502,0
2977247452,0.4643206119,0
2977251452,0.5229716300,0
2977255440,0.6158357620,0
2977259436,0.6402736663,0
2977263436,0.6304985046,0
2977267420,0.6549364089,0
2977271412,0.7478005886,0
2977275396,0.8651026725,0
2977279388,0.9335288047,0
2977283380,0.9970674514,0
2977287368,1.0557184219,0
2977291364,1.1779080629,0
2977295348,1.3294233083,0
2977299356,1.4271749496,0
2977303368,1.4760508537,0
2977307356,1.5444769859,0
2977311356,1.6813293457,0
2977315368,1.8084066390,0
2977319348,1.8866080284,0
2977323352,1.9208210945,0
2977327348,1.9696969985,0
2977331356,2.0918865203,0
2977335348,2.1994135379,0
2977339348,2.2873899936,0
2977343348,2.3704788684,0
2977347348,2.5415444374,0
2977351356,2.8641250610,0
2977355356,3.2893450260,0
2977359348,3.6803519725,0
2977363352,3.9296188354,0
2977367356,4.0909090042,0
2977371332,4.0860214233,1
